Title,Time,Servings,Ingredients,Instructions,Image
Perfect roast turkey,180,10 serving(s),"['20ml/¾fl oz rapeseed oil', '1 x 5kg/11lb good-quality free-range turkey, preferably organically reared, wishbone removed (ask your butcher to remove the wings and neck and chop them into 2.5cm/1in pieces to use in the dish)', '40g/1½oz unsalted butter, softened to room temperature', '2 pinches sea salt flakes', '2 pinches freshly ground white pepper', '200ml/7fl oz water', 'salt and freshly ground black pepper', '1-2 tsp ground arrowroot (depending on how thick you like your gravy), dissolved in 1 tbsp cold water', 'roast potatoes and steamed seasonal vegetables, to serve']","Remove the turkey from the fridge and bring to room temperature - this will take at least an hour.
When you are ready to cook, preheat the oven to 230C/220C Fan/Gas 8.
Heat the rapeseed oil in a large, heavy-based roasting tray on the stove top. Add the chopped turkey wings and neck and fry for 8-10 minutes, turning the pieces over every 2-3 minutes, or until evenly browned all over.
Meanwhile, in a small bowl, soften the butter with the back of a dessert spoon, then season with the salt and freshly ground white pepper. Using a pastry brush or your hands, smear the seasoned butter all over the turkey. Add any remaining butter to the roasting tray once the chopped wings and neck have browned.
Place the turkey on top of the wing and neck pieces, then roast in the oven for 30 minutes.
Remove the turkey from the oven and baste all over with the cooking juices.
Reduce the oven temperature to 160C/150C Fan/Gas 3.
Pour the water into the roasting tray, then return the turkey to the oven and continue to cook for a further 1 hour, basting the bird with the cooking juices every 20 minutes (do this quickly to prevent the heat escaping from the oven).
At the end of the cooking time, test that the turkey is cooked through by inserting a skewer or roasting fork into the thickest part of its thigh; if the juices run clear, the meat is cooked. Alternatively, use a meat thermometer; if cooked, the temperature should be 65C for 10 minutes, or up to 74C for 2 minutes. If the turkey is not fully cooked, return it to the oven until the juices run clear.
Remove the turkey from the oven and transfer the bird to a large, deep-sided tray, reserving the roasting tray the turkey was cooked in along with the cooking juices. Set the turkey aside to rest for a minimum of 30 minutes and up to 1½ hours.
While the turkey is resting, cook your roast potatoes and vegetable dishes.
When you’re almost ready to serve the meal, return the roasting tray used to cook the turkey to the stove top. Bring the cooking juices to the boil over a medium heat, scraping up any burned bits from the bottom of the tray using a wooden spoon.
Collect the juices released by the turkey as it was resting and add them to the gravy. Season, to taste, with salt and freshly ground black pepper, if needed.
Reduce the heat until the gravy is simmering, then stir in the dissolved arrowroot and cook until the gravy has thickened.
Strain the gravy through a fine sieve into a warmed jug. Keep warm.
To serve, bring the turkey to the table and carve into slices. Serve with the roast potatoes and vegetables. Pour over the gravy.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/the_perfect_roast_turkey_01155_16x9.jpg
Stuffed roast turkey breast,180,8 serving(s),"['1 tbsp sunflower oil', '1 onion, finely chopped', '1 leek, trimmed and finely sliced', '4 pork sausages, around 275g/9¾oz', '50g/1¾oz dried cranberries', '25g/1oz flaked almonds', '1 unwaxed lemon, finely grated zest only', '1 heaped tbsp roughly chopped fresh thyme leaves', '40g/1½oz dried white breadcrumbs', 'salt and freshly ground black pepper', '1.5kg/3lb 5oz turkey breast joint, fully thawed if frozen', '16 rashers smoked streaky bacon', '2 tbsp sunflower oil, plus extra for oiling', 'fresh thyme and bay leaves, to garnish', '2 tbsp plain flour', 'splash of wine', '450ml/16fl oz chicken stock, made with 1 chicken stock cube', '1 tbsp redcurrant jelly']","To make the stuffing, heat the oil and gently fry the onion and leek for 5 minutes, or until well softened and lightly browned, stirring regularly. Tip into a mixing bowl and leave to cool for 30 minutes.
For the turkey, generously oil a small, sturdy roasting tin, roughly 30cm x 22cm/12 x 8½in – the turkey needs to fit snugly.
To continue the stuffing, once the onion and leek are cool, add the cranberries, almonds, lemon zest, thyme and breadcrumbs. Squeeze the sausage meat out of the skins and add it to the bowl.
Season with salt and lots of pepper. Mix well with a spoon or with clean hands until thoroughly combined.
Place the turkey breast on a board and gently remove the skin. Turn over and cut horizontally almost all the way through the thickest part of the breast and open up like a book, so that the turkey has a flatter, more oblong shape. Cover with a sheet of cling film and bash with a rolling pin until around 2.5cm/1in thick all over.
Place a sheet of cling film on a work surface and put eight pieces of kitchen string, each 50cm/20in long, roughly 4cm/1½in apart along its length. Stretch each rasher of bacon with the back of a knife until around 32cm/13in long. Place the bacon rashers on top of the string and cling film, overlapping each slice.
Place the turkey breast, smooth-side down, on top of the bacon and arrange the filling all the way down its length. Bring up the cling film and bacon on both long sides to enclose the filling.
Tie firmly with the string and discard the cling film. Place the turkey parcel in the prepared tin, knot-side down. (You can cover and chill for up to 24 hours before cooking if using a fresh turkey joint, or cook the same day if using a previously frozen joint.)
Preheat the oven to 200C/180C Fan/Gas 6. Uncover the stuffed turkey joint, then drizzle with oil and season with black pepper. Cover loosely with foil and roast for 1 hour. Remove the foil and continue cooking for a further 30–45 minutes, or until the bacon is crisp and the turkey and stuffing are thoroughly cooked.
Transfer the turkey to a warmed platter. Cover with foil and a tea towel and leave to rest for 15 minutes.
For the gravy, put the roasting tin on the hob over medium heat and stir in the flour. Add the wine and cook for 15–20 seconds, stirring constantly.
Gradually add the stock, stirring all the time. Bring the liquid to a simmer, stir in the redcurrant jelly and cook for 2 minutes, or until thickened and glossy. Season to taste, strain carefully (the tin will be extremely hot) through a sieve into a saucepan and keep warm until ready to serve.
Snip the string off the turkey and garnish with bay leaves and thyme. Carve into slices and serve with the hot gravy.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/roast_turkey_crown_10545_16x9.jpg
Nigella's turkey breast with Christmas stuffing,150,12 serving(s),"['100g/3½oz dried cranberries', '100ml/3½fl oz Marsala', '2 tbsp olive oil', '2 banana shallots, finely chopped', '¼ tsp ground cloves', '½ tsp ground allspice', '2 tsp chopped fresh sage', '1kg/2lb 4oz Italian sausages', '2 free-range eggs, beaten', '50g/2oz parmesan, grated', '60g/2¼oz breadcrumbs', '5kg/11lb double breast turkey joint, boned, butterflied, with skin left on', '4 tbsp duck or goose fat']","Put the cranberries and Marsala into a small saucepan and bring to a boil, then take off the heat and leave to one side.
Put the oil into a large frying pan or similar heavy-based pan, and fry the shallots for a minute or so, then add the spices and shredded sage, turning them in the soft shallots.
Squeeze the sausagemeat out of its skins, add to the pan and break it up – using a wooden fork and spatula for ease – turning it in the hot pan until it loses its pinkness. This will take about five minutes.
Take the frying pan off the heat and turn the contents into a large bowl, mixing in the steeped cranberries and any Marsala clinging to them, and leave to cool. You can cover with cling film and put in the fridge for up to two days at this stage.
When you are ready to stuff the turkey breast, take the bowl of sausagement out of the fridge.
Preheat the oven to 200C/400F/Gas 6.
Uncover the bowl of sausagemeat, add the eggs, parmesan and breadcrumbs and – I use my hands for this – mix well.
Lay the butterflied turkey joint out in front of you. It really does look like a butterfly though admittedly a fleshy one. Spread the stuffing out first in the slight cavity in the centre of the butterfly and then outwards onto the wings though not going right up to the edge (or it will squodge out when cooking) but as evenly as possible over the whole joint.
Carefully, in one swift but steady movement, fold one ‘wing’ over the other to close the joint, and then sit the turkey on a large roasting tin, breast bone (or where the breast bone would be) uppermost as it would look were it the whole bird, with the pointier bit furthest away from you. Thread two skewers through the base – i.e., the widest part that is nearer you – to keep it closed and smear it all over with the duck or goose fat.
Roast the turkey breast for 2-2½ hours, then check it is cooked with a turkey or meat thermometer. When cooked, it should read 75C. (If you’re leaving it to rest, as you should or to cool, you could take it out at 73C – it wil retain heat and continue to cook for a short while once out of the oven.)
Flex your muscles, then lift out onto a carving board, and leave to rest for at least 20 minutes. Or leave to get cold if you are eating it as part of a buffet.
Cut through the whole joint in wide slices right across; they will need to be quite thick, at least 1-2cm/½-1in, to keep the stuffing intact within the slice.
As you place it on table or sideboard, dot around it the condiments of your choice: I revert to Christmas in Italy here by putting a lusciously extravagant pot or two of Italian mostarda di Cremona on the table alongside: this is a hot and sweet preserve of mustardy candied fruits that gleam beautifully and taste both festive and fabulous.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/turkey_breast_stuffed_43707_16x9.jpg
Gordon Ramsay's roast turkey crown,120,8 serving(s),"['125g/4½oz pack unsalted butter, softened', '3-4 sprigs fresh thyme, leaves only', 'sprig of fresh rosemary, chopped leaves only', '2 tbsp fresh parsley leaves, chopped', 'salt', 'freshly ground black pepper', '2.2kg/4lb 14oz medium-sized turkey crown', '125g/4½oz butter', '1 onion, finely chopped', 'large sprig of thyme and rosemary, chopped leaves only', '200g/7oz white breadcrumbs', '6 fresh sage leaves', '1 lemon, zest only', '50g/2oz pine nuts', '1 tsp sea salt', 'freshly ground black pepper', '3 tbsp fresh parsley, chopped', '1 onion or large shallot, chopped', '2 tbsp olive oil', '125ml/4fl oz dry white wine', '1 sprig fresh thyme', '1 bay leaf', '500ml/17fl oz chicken stock', '200ml/7fl oz double cream', 'sea salt', 'freshly ground black pepper']","Pre-heat the oven to 200C/180C Fan/Gas 6.
For the herb butter, mix herbs and butter together to form a paste, season well with salt and freshly ground black pepper.
Lift up the skin of the turkey with your fingers and separate it from the flesh. Divide the herb butter and spread it under the skin. Season well, place in a roasting tin.
Cook the crown for 15 minutes, then reduce the heat to 180C/160C Fan/Gas 4 and cook the turkey for 1½ hours, or until the juices run clear. Cover the turkey with foil and tea towels and set aside in a warm place to rest for 30 minutes before carving, reserve the juices for the gravy.
For the stuffing, melt butter in a large frying pan and gently sauté onion for 10 minutes until soft. Stir in the herbs for 1 minute then add breadcrumbs to absorb the butter. Mix in the lemon zest, pine nuts and seasoning and cook over medium heat for about seven minutes until crumbs start to brown and crisp. Take off the heat, mix in the parsley and serve warm.
For the gravy, gently fry the onion in the olive oil for about five minutes. Pour in the wine and add the thyme and bay and boil until the volume of the liquid is reduced by three-quarters.
Add stock and boil until reduced by half then add cream and boil for further five minutes. Season with freshly ground black pepper. Remove from heat, cool for ten minutes and strain. Add the turkey pan juices, boil for two minutes, season with salt and strain.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/roastturkeyandstuffi_71053_16x9.jpg
Roast turkey crown,180,8 serving(s),"['1 turkey breast crown (a wingless, legless turkey)', '50g/2oz butter', 'salt and pepper', 'about 10 rashers streaky bacon']","Preheat the oven to 220C/200C Fan/Gas 7.
Rub the butter all over the bird and season well with salt and freshly ground black pepper. Then lay the bacon rashers over the bird, more or less covering it completely. The job of the bacon is twofold: to help keep the breast basted without you having to open (and therefore cool) the oven every ten minutes; and to buy you time, so the skin doesn't burn before the breast is cooked through.
Place the bird in a roasting tray in the centre of the oven. Cook on this high heat for 25-30 minutes until the bacon is almost burnt.
Remove the bacon from the breast of the bird and put on one side. Baste the breast of the bird with the fat and juices in the pan and return to the oven. Turn down the oven to 180C/160C Fan/Gas 4 and continue to cook for about 12 minutes per 1kg/2¼lb, protecting the skin with buttered foil only if it seems to need it. Cook until the juices run clear when the thickest part of the breast is pierced with a skewer and the skin is brown and crispy. Cooked like this even a big bird (say 6-7kg/13½-15¾lb legless weight) shouldn't take more than 1½-2 hours in total.
Serve slices of roast turkey breast and spoonfuls of the leg meat in their rich gravy, with all the usual trimmings: roast potatoes, bread sauce, steamed sprouts, chipolatas wrapped in bacon and stuffing.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/roastleglessturkey_13963_16x9.jpg
Roast turkey roll,150,8 serving(s),"['100g/3½oz pork scratchings', '100g/3½oz sourdough bread, broken into pieces and baked until crisp', '100g/3½oz shelled pistachios, roughly chopped', '50g/1¾oz dried cranberries, roughly chopped', '2 tbsp fresh thyme leaves', '1 orange, zest only', '800g/1lb 12oz sausage meat', '400g/14oz onion, finely chopped and fried until translucent, cooled', '100g/3½oz cooked and peeled chestnuts, finely chopped', '160g/5½oz fresh breadcrumbs', '1 bunch fresh sage, chopped', '2 tsp salt', '3 tsp cracked black pepper', '100g/3½oz dried cranberries', '1 tbsp juniper berries, crushed', '20 rashers smoked streaky bacon (approximately 250-300g/9-10½oz)', '2-2.2kg/4lb 8oz-5lb boneless and skinless turkey breast', '140g/5oz brown sauce', 'bread sauce, to serve']","For the crumble topping, crush the pork scratchings and the sourdough pieces in a bowl. Add the pistachios, cranberries and thyme. Mix with your hands and set aside in a covered container.
For the stuffing, mix together all the ingredients apart from the bacon. Mix to combine.
Trim any bits of fat or membrane from the turkey. With a sharp knife, open out the turkey breast as if you are butterflying it. Place the turkey between two sheets of cling film and flatten it out a little with a rolling pin.
Cut two large pieces of aluminium foil and lay the turkey breast on top. Season with salt and pepper. Spread a generous dollop the stuffing mix in a 5mm/¼in layer onto the turkey breast and then use the foil to help you roll it up like a Swiss roll. Completely encase the turkey in the two layers of foil and secure with cook's string at regular intervals along the length of the roll. Place in the fridge until needed.
Preheat the oven to 120C/250F/Gas ½.
Add 400ml/14fl oz boiling water to a deep roasting tin. Place a wire rack in the tin and place the rolled turkey breast on top. Cover the roasting tin with aluminium foil.
Roast in the oven for 1½-2 hours, then check the core temperature with a meat thermometer. You are looking for a temperature of 70C/160F. If it is not ready, place back into the oven and continue to cook until it reaches 70C/160F. Once cooked, remove from the oven, cover with aluminium foil and set aside to rest for 40 minutes. When cool enough to handle, remove the string and foil.
For the stuffing, preheat the oven to 170C/325F/Gas 3 and line a terrine mould or flameproof bowl with the streaky bacon, leaving some excess hanging over the sides. Pack the mould with the remaining stuffing mix and wrap the bacon over the top.
Bake in the oven for 45 minutes, or until the middle has reached 70C/160F on a meat thermometer. When cooked, remove from the oven and set aside to rest for 20 minutes.
After 20 minutes, turn out the stuffing and pat dry. Heat the grill to hot, then grill the stuffing until the bacon is crisp.
When rested, remove the turkey from the roasting tin and brush a thick layer of brown sauce over the top. Cover with the Christmas crumble mix, top with a little orange zest and serve straight away with the stuffing.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/toms_turkey_roll_with_44115_16x9.jpg
Roast turkey and stuffing,150,12 serving(s),"['4.5-5.5kg/10-12lb whole turkey, with giblets', '1 onion, halved', '1 carrot', '2 celery sticks', '2 sprigs of fresh parsley', '2 sprigs of fresh thyme', '175g/6oz butter', 'flaked sea salt and freshly ground black pepper', '85g/3oz butter', '175g/6oz onions, finely chopped', '225g/8oz fresh white breadcrumbs', '2½ tbsp chopped mixed fresh herbs (parsley, chives, thyme or sage)', '1.2 litres/2 pints stock (see above, or chicken stock)', '1 tbsp softened butter', '1-2 tbsp plain flour']","For the stock, put the giblets, onion, carrot, celery and herbs in a saucepan and season. Cover with about 2 litres/3½ pints cold water and bring to the boil, then reduce the heat and simmer for 2 hours, or until you have a flavoursome stock. Strain and set aside for making the gravy. (The stock can be made a day or two in advance; cover and store in the fridge, then skim any fat from the top.)
Preheat the oven to 200C/180C Fan/Gas 6. For the stuffing, melt the butter in a saucepan over a medium heat. When it is foaming, add the chopped onions and season. Cover with greaseproof paper and a lid, turn the heat to low and cook for 8-10 minutes, or until completely softened. Set aside to cool.
Put the cooled onions in a mixing bowl. Mix in the breadcrumbs and mixed herbs and season to taste. Weigh the stuffing to assist with calculating the cooking time.
Season the turkey cavity at both ends. Stuff some of the stuffing into the main cavity, but be careful not to pack it in - there must be enough space between the stuffing and breastbone to fit the handle of a wooden spoon. Stuff the smaller cavity at the neck end, again leaving a little space. Put the turkey into a large roasting tray. Melt the 175g/6oz butter, then soak the muslin in the butter and wrap it over the turkey.
To calculate the cooking time, add the weight of the turkey and stuffing together. Roast for 15 minutes, then turn the oven down to 180C/160C Fan/Gas 4 and roast for 15 minutes per 450g/1lb of the total weight. Baste with the juices every 30 minutes; it is important to do this quickly so as to not let the turkey cool down, as this could alter the cooking time. Remove the muslin 15 minutes before the end of roasting and baste again.
To test if the turkey is cooked, insert a small fruit or vegetable knife into the thicktest part of the meat, between the leg and breast; the juices that run should be clear, with no sign of pink; if there is any pink, return the turkey to the oven for another 15-20 minutes, or until cooked through. Tranfer the turkey to a carving dish. Cover it with parchment paper, then place a clean tea-towel over it to keep it nice and snug. Leave it to rest for at least 30 minutes, or up to 1½ hours.
Meanwhile, for the gravy, skim off the fat from the roasting tray with a spoon. Place the tray on a medium heat and deglaze it by pouring in the stock. Using a whisk, scrape free all the caramelised bits on the bottom of the tray. Bring the mixture to the boil, then carefully pour it into a saucepan through a sieve and season.
To thicken the gravy, mix together the butter and flour, then whisk it into the gravy. Bring the mixture to a simmer, then remove from the heat.
Carve the turkey and serve on warm plates with the stuffing and hot gravy.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/perfect_roast_turkey_72482_16x9.jpg
Perfect roast chicken dinner,150,4 serving(s),"['500ml/18fl oz milk', '75g/2½oz butter', '8 cloves', '3 large bay leaves, crumbled', 'pinch salt', 'freshly ground white pepper', '1 small onion, peeled, finely chopped', 'pinch freshly grated nutmeg', '1 tbsp double cream', '125g/3½ fresh white breadcrumbs', '1 chicken with giblets (if giblets available, chopped)', '2 tbsp olive oil', 'salt and freshly ground pepper', '300g/10½oz chicken wings, roughly chopped', '125ml/4fl oz dry vermouth', '8 chipolata sausages', '8 thin slices streaky bacon (or pancetta)', '250ml/9fl oz good-quality chicken stock', '750g/1lb 10oz small to medium waxy potatoes, steamed or boiled in their skins, then peeled']","For the bread sauce, heat together the first eight ingredients until just bubbling for two minutes. Put on the lid, turn off the heat and set aside to infuse for half an hour. Strain the milk through a fine sieve into a clean pan, pressing down with a spoon to extract all the liquid.
Add the cream to the milk mixture and gently heat. Whisk in the breadcrumbs. Leave for a few moments to allow the crumbs to swell. Season to taste with more salt and then pour the sauce into a bowl. Cover with a plate and keep warm over a pan of hot, but not boiling water, until needed.
Preheat the oven to 200C/180C Fan/Gas 6.
Rub half of the oil over the chicken and sprinkle with plenty of salt, set aside. Heat the remaining tablespoon of oil in a roomy casserole dish and lightly brown the chopped chicken wings and giblets over a medium heat. Place the prepared chicken on top, sitting it between the wings and giblets. Add pepper and the vermouth. Roast for ten minutes.
Decrease the oven temperature to 180/160C Fan/Gas 4 and cook the chicken for a further 45 minutes to an hour and 20 minutes, depending on the weight of the chicken. Check the chicken is cooked by inserting a skewer into the thickest part of the meat – if the juices run clear, the bird is cooked.
Meanwhile remove the skins from the sausages and wrap in the bacon. Place into a small roasting dish and cook alongside the chicken for about 20-25 minutes, or until they are sizzling and nicely browned. Set aside and keep warm.
Remove the chicken from the oven. Transfer it to a warm plate first letting the juices drip back into the roasting pan it was cooked in. Cover the chicken with foil and leave it somewhere warm to rest.
Add the chicken stock to the roasting pan and simmer over a medium heat for about 10 minutes, stirring in all the caramelised browned bits on the roasting tin. Strain and return the gravy to the roasting tin. Place on a medium heat on the stove.
Add the cooked, peeled potatoes to the gravy and turn them to coat in the juices. Transfer to the oven for at least 20 minutes or until golden-brown.
Carve the chicken onto a warmed serving dish, surround with the potatoes and sausage and bacon rolls. Serve the gravy and bread sauce at the table, in sauceboats or small jugs.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/roast_chicken_with_60937_16x9.jpg
Venison Wellington with caramelised onions and port jus,120,6 serving(s),"['1 tbsp olive oil', '750g/1lb 10oz venison fillet, from the thickest end, trimmed', '2 onions, thinly sliced', '1 tbsp light muscovado sugar', '1 tbsp balsamic vinegar', '1 tbsp finely chopped fresh thyme leaves', 'plain flour, for dusting', '375g/13oz ready-rolled puff pastry', '1 tsp Dijon mustard', '1 free-range egg, beaten', 'salt and freshly ground black pepper', '1 tbsp plain flour', '300ml/½ pint hot beef stock', '100ml/3½fl oz port or red wine', '1 heaped tsp redcurrant jelly']","Heat the oil in a large frying pan over a high heat. Season the venison with salt and pepper and fry for about 20 seconds on each side, or until sealed and golden-brown but not cooked. Remove and set aside to cool.
Reduce the heat to low, add the onions to the pan and fry for few minutes. Cover with a lid and cook for 15–20 minutes, or until soft and golden.
Remove the lid and fry for a minute to drive off any liquid. Remove half the onions with a slotted spoon and set aside (this will be used for the gravy later). Add the sugar, vinegar and thyme to the onions and cook for 5 minutes, or until sticky. Leave to cool completely.
Roll the pastry out on a lightly floured work surface until it is very thin – about 25x35cm/10x14in. Trim the edges to neaten. Brush the surface of the pastry with the mustard, sit the browned fillet in the centre and spoon over the sticky balsamic onions.
Fold up the ends and bring over the sides, trim any excess if there are double layers of pastry, and brush with beaten egg. Use the pastry trimmings to cut out three leaves and arrange in the centre of the Wellington, then glaze them with egg. Chill in the fridge for 1 hour, along with any remaining beaten egg.
Preheat the oven to 220C/200C Fan/Gas 7. You will need a large baking tray lined with non-stick baking paper preheated in the oven so that it is piping hot.
Brush the Wellington with the remaining beaten egg. Sit it on the hot baking tray and roast for 20–25 minutes, or until golden-brown. Leave to rest for 5–10 minutes before carving.
Meanwhile, to make the sauce, fry the reserved cooked onion in a saucepan over a high heat for 1 minute. Sprinkle in the flour, and stir. Add the hot stock, fruit jelly and port. Bring to the boil, stirring, and cook for 5 minutes, or until reduced and thickened.
Strain the sauce through a sieve, return it to the pan, season with salt and pepper, and cook for a few more minutes, until it has a coating consistency. Add more salt and pepper if necessary.
Carve the venison into very thick slices and serve with the port sauce.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/venison_wellington_with_90748_16x9.jpg
Roast beef,120,6 serving(s),"['225g/8oz plain flour', '8 free-range eggs', '600ml/20fl oz milk', '50g/1¾oz beef dripping or lard', 'salt and freshly ground black pepper', '4kg/8lb 8oz, 3 bone fore rib 28 day aged beef', '200ml/7fl oz white wine', '300ml/10fl oz beef stock', '10 King Edward potatoes, peeled and cut into 2 or 3', '50g/1¾oz lard, beef dripping or vegetable oil', 'pinch salt', '75g/2¾oz butter', '3 carrots, finely sliced', '1 head spring greens, finely sliced', '250g/9oz peas', 'wholegrain mustard, to serve']","For the Yorkshire puddings, put the flour in a bowl, season with salt and pepper. Add the eggs and whisk to a batter. Add the milk and whisk until smooth then place in the fridge for at least one hour, but preferably overnight.
For the beef, preheat the oven to 200C/180C Fan/Gas 6.
Heat a frying pan until very hot. Season the beef with salt and pepper. Fry the beef on all sides in the hot pan until nicely browned. Transfer to a roasting dish and place in the oven for 1 hour 30 minutes.
Meanwhile for the roast potatoes, put the potatoes in a large saucepan, cover with water, add a pinch of salt and bring to the boil. Reduce the heat and simmer for 3-4 minutes. Drain the potatoes into a colander and shake around a little to rough up the edges.
Put a deep roasting tray onto the heat and add the fat. Add the potatoes and fry on each side until they start to brown. Sprinkle with salt and place in the oven alongside the beef for 30 minutes until starting to turn golden and crisp. After 30 minutes, turn the potatoes over in the fat and return to the oven for a further 20-30 minutes.
Remove the beef from the oven, cover with aluminium foil and rest for 15-30 minutes. Put the beef on a board to carve then return the roasting pan to the heat, and heat over a medium heat until bubbling, then add the wine and cook until reduced by half. Add the beef stock and cook until reduced by half again, season to taste.
To cook the Yorkshire puddings, preheat the oven to 220C/200C Fan/Gas 7.
Divide the dripping or lard between 2 x 12 hole muffin tins or Yorkshire tins. Heat the tins in the oven for 10 minutes, until smoking hot. Carefully pour the batter into the tins, filling them two-thirds of the way. Bake the Yorkshire puddings for 20 minutes. Do not open the oven door during this time.
After 20 minutes, open the door to allow any steam to escape, then turn the temperature down to 190C/170C Fan/Gas 5. Cook the Yorkshire puddings for a further 15 minutes until crisp and golden-brown.
For the vegetables, heat a frying pan until hot, add one-third of the butter and all the carrots. Stir to coat the carrots in the melted butter, add 110ml/4floz water and bring to the boil. Reduce the heat to a simmer and cook for five minutes, until the liquid has reduced to coat the carrots and they are tender. Season with salt and pepper.
Repeat the process for the spring greens, cooking them for 2-3 minutes until tender.
Meanwhile, bring a pan of salted water to the boil, add the peas and cook for two minutes until hot through. Drain the peas and toss with the last of the butter.
To serve, carve the beef and place onto serving plates, with the roast potatoes, Yorkshire pudding and a spoonful of each of the vegetables. Finish with a drizzle of the gravy and a spoon of mustard alongside.",https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/roast_fore_rib_of_beef_19243_16x9.jpg
