Column1;listing.city;listing.neighborhood;p3_summary_title;description_locale;listing.extra_host_languages;listing.star_rating
0;barcelona;El Besòs i el Maresme;Double Private room with breakfast near the beach;en;['en'];45
1;barcelona;Sants-Montjuïc;ROOM CENTRAL, IDEAL for CITY VISITORS;en;['en'];50
2;barcelona;Ciutat Vella;room in downtown!!;en;['en'];45
3;barcelona;Eixample;Little single room to rest in BCN;en;['it'];45
4;barcelona;La Nova Esquerra de l'Eixample;Habitación doble con balcón ideal para parejas;es;[];45
5;barcelona;Sants-Montjuïc;Habitación para una persona 日租房;es;['en', 'zh'];45
6;barcelona;Sants-Montjuïc;Amazing quiet Double room;es;['de', 'en', 'fr'];45
7;barcelona;Horta-Guinardó;Backpacker's Room in SAGRADA FAMILIA;en;['en', 'it', 'pt'];50
8;barcelona;Eixample;Private room in a perfect location/breakfast free1;de;['de', 'en', 'fr', 'it'];50
9;barcelona;Eixample;Cozy room at the city center;en;['en'];50
10;barcelona;Ciutat Vella;Habitacion privada cerca de playa y metro.;es;['en', 'it'];40
11;barcelona;Ciutat Vella;Nice cheap and centric room;es;['de', 'en'];45
12;barcelona;Gràcia;Double room gracia IIffzźzss;en;['en', 'fr', 'it', 'pt'];45
13;barcelona;Eixample;Rest as at home! Bcn...;es;['en'];40
14;barcelona;La Nova Esquerra de l'Eixample;Small single Room+WiFi+CENTRE;en;['en', 'fr', 'sv'];45
15;barcelona;el Fort Pienc;Soleada Habit. exterior terraza, en el centro BCN;es;['en'];45
16;barcelona;El Raval;Single bedroom;en;[];45
17;barcelona;Sants-Montjuïc;"Double big and sunny ""blue"" room";en;['en', 'it'];45
18;barcelona;El Poble-sec;cozy and sunny single room;en;['en', 'it'];45
19;barcelona;Eixample;Habitación en L'Eixample Esquerra;es;[];50
20;barcelona;Les Corts;Loft barato en centro **wifi i fira;es;['de', 'en'];50
21;barcelona;Sant Pere/Santa Caterina;Small room in hearth of Born;es;[];45
22;barcelona;Sant Martí;Llave particular.En Gran Via Glorias y Torre Agbar;es;[];45
23;barcelona;Sant Antoni;Excelente y céntrica Room/terraza single/doble;es;['en', 'pt'];50
24;barcelona;Vilapicina i la Torre Llobeta;Alquiler habitaciòn individual.B;es;[];50
25;barcelona;L'Antiga Esquerra de l'Eixample;Habitación cerca de Sants Estaciò;es;[];45
26;barcelona;La Nova Esquerra de l'Eixample;A PERFECT ROOM FOR RENT CENTER BCN;en;['en'];45
27;barcelona;Sants-Montjuïc;MAGNIFICENT DOUBLE ROOM IN SANTS;en;['en'];50
28;barcelona;Sants-Montjuïc;Pleasant room, Plaza España.;en;[];45
29;barcelona;Sant Andreu;Habitación cerca a Sagrada Familia;es;[];40
30;barcelona;El Poble-sec;Quiet & bright room in lively area;en;['en', 'fr', 'it', 'pt'];50
31;barcelona;El Poble-sec;Single room with sunny balcony and desk.;es;['en'];45
32;barcelona;Ciutat Vella;Económico y muy Céntrico;es;[];45
33;barcelona;La Nova Esquerra de l'Eixample;Shared apartment in downtown Barcelona.;en;['it'];45
34;barcelona;Ciutat Vella;Room in the ❤️ of Barcelona;en;['en', 'it'];40
35;barcelona;Sants-Montjuïc;AN ADVENTURE IN BARCELONA 2;en;[];45
